API Name,API Function,API Full URL,Query Examples,Description
SEC EDGAR Filings Query API,QueryApi.get_filings(),https://sec-api.io/docs/query-api,"query = { ""query"": ""ticker:TSLA AND filedAt:[2020-01-01 TO 2020-12-31] AND formType:\""10-Q\"""", ""from"": ""0"", ""size"": ""10"", ""sort"": [{ ""filedAt"": { ""order"": ""desc"" } }] }","Use this API to search and filter all 18 million SEC EDGAR filings using parameters like ticker, CIK, form type, filing date, etc. Ideal for retrieving structured filing metadata and accessing all filings dating back to 1993."
Full-Text Search API,FullTextSearchApi.get_filings(),https://sec-api.io/docs/full-text-search-api,"query = { ""query"": '""LPCN 1154""', ""formTypes"": ['8-K', '10-Q'], ""startDate"": '2021-01-01', ""endDate"": '2021-06-14', }",Use this API to search the full text of all SEC filings (including attachments) submitted since 2001. Best for finding specific terms or phrases within filing content and exhibits.
Filing & Exhibit Download API,RenderApi.get_file(),https://sec-api.io/docs/sec-filings-render-api,"filing_8k_html = renderApi.get_file(url_8k_html); excel_file = renderApi.get_file(url_excel_file, return_binary=True)","Use this API to download any SEC filing, exhibit, or attachment in its original format (HTML, XML, PDF, Excel, etc.). Useful for accessing the actual document content."
PDF Generator API,PdfGeneratorApi.get_pdf(),https://sec-api.io/docs/sec-filings-render-api,pdf_10k_filing = pdfGeneratorApi.get_pdf(url_10k_filing),"Use this API to convert any SEC filing or exhibit into a PDF file, preserving all original formatting. Ideal when you need filing content in PDF format."
SEC EDGAR Filings Real-Time Stream API,WebSocket Client (async),https://sec-api.io/docs/stream-api,async with websockets.connect(WS_ENDPOINT) as websocket: message = await websocket.recv(); filings = json.loads(message),Use this API to receive a live stream of newly published SEC filings via WebSockets. Best for real-time monitoring and immediate access to new filings.
XBRL-to-JSON Converter API,XbrlApi.xbrl_to_json(),https://sec-api.io/docs/xbrl-to-json-converter-api,"xbrl_json = xbrlApi.xbrl_to_json(htm_url=""https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm"")",Use this API to parse and convert XBRL financial data from 10-K and 10-Q filings into structured JSON. Best for extracting standardized financial statements and metrics.
10-K/10-Q/8-K Section Extractor API,ExtractorApi.get_section(),https://sec-api.io/docs/sec-filings-item-extraction-api,"section_text = extractorApi.get_section(filing_url_10k, ""1A"", ""text"")","Use this API to extract specific sections from 10-K, 10-Q, and 8-K filings (e.g., Risk Factors, MD&A). Ideal for analyzing particular components of financial reports."
Form ADV API,"FormAdvApi.get_firms(), FormAdvApi.get_direct_owners(), FormAdvApi.get_indirect_owners(), FormAdvApi.get_private_funds(), FormAdvApi.get_individuals(), FormAdvApi.get_brochures()",https://sec-api.io/docs/investment-adviser-and-adv-api,"response = formAdvApi.get_firms({ ""query"": ""Info.FirmCrdNb:361"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{""Info.FirmCrdNb"": {""order"": ""desc""}}], })","Use this API to search Form ADV filings from investment advisers. Access firm details, ownership information, private funds, and individual adviser data."
Insider Trading Data API,InsiderTradingApi.get_data(),https://sec-api.io/docs/insider-ownership-trading-api,"insider_trades = insiderTradingApi.get_data({ ""query"": ""issuer.tradingSymbol:TSLA"" })",Use this API to access insider buy and sell transactions (Form 3/4/5) of public company executives and directors. Best for tracking insider ownership changes.
Form 13F Institutional Holdings Database,Form13FHoldingsApi.get_data(),https://sec-api.io/docs/form-13-f-filings-institutional-holdings-api,"search_params = { ""query"": ""cik:1350694 AND periodOfReport:2024-03-31"", ""from"": ""0"", ""size"": ""10"", ""sort"": [{ ""filedAt"": { ""order"": ""desc"" } }] }","Use this API to access Form 13F holdings data from institutional investors. Great for tracking portfolio holdings of hedge funds, mutual funds, and investment managers."
